STN,MMDDYY,EVAP
,09/22/2017,1.5
,09/23/2017,2.2
,09/24/2017,2.2
,09/25/2017,0.8
,09/26/2017,0.8
,09/27/2017,1.3
,09/28/2017,0.9
,09/29/2017,1.1
,09/30/2017,0.3
,10/01/2017,1.8
,10/02/2017,0.9
,10/03/2017,1.4
,10/04/2017,0.7
,10/05/2017,1.1
,10/06/2017,1.2
,10/07/2017,0.3
,10/08/2017,1.3
,10/09/2017,0.5
,10/10/2017,5.5
,10/11/2017,0.5
,10/12/2017,1.1
,10/13/2017,1.3
,10/14/2017,0.6
,10/15/2017,1.5
,10/16/2017,1.3
,10/17/2017,0.8
,10/18/2017,1.2
,10/19/2017,1.1
,10/20/2017,0.8
,10/21/2017,0.4
,10/22/2017,0.6
,10/23/2017,0.5
,10/24/2017,0.2
,10/25/2017,0.6
,10/26/2017,0.6
,10/27/2017,0.7
,10/28/2017,0.3
,10/29/2017,0.8
